name,latitude,longitude,locality,country_code
Parede,38.685719,-9.353274,Carcavelos e Parede,pt
Paul do Mar,32.75788,-17.23079,Calheta,pt
Pedra Branca,38.98081,-9.42196,Ericeira,pt
Pedrogão,39.91942,-8.95382,Pedrógão,pt
Pico da Mota,39.38402,-9.30362,Ferrel,pt
Ponta do Pargo,32.8138,-17.26253,Ponta do Pargo,pt
Ponta do Paul,32.76728,-17.23859,Fajã da Pedra,pt
Porto Batel,39.31967,-9.35552,Lugar da Estrada,pt
Porto Côvo,37.857257,-8.79329,Porto Covo,pt
Porto da Cruz,32.76852,-16.82305,Porto da Cruz,pt
Póvoa de Varzim,41.38159,-8.770438,Póvoa de Varzim,pt
Praia Azul,41.34584,-8.75362,Vila do Conde,pt
Praia da Barra,40.63665,-8.74857,Barra,pt
Praia da Rocha,37.1155,-8.5306,Portimão,pt
Praia da Vieira,39.87476,-8.9723,Praia da Vieira,pt
Praia das Bicas,38.4237,-9.21465,Sesimbra,pt
Praia das Maçãs,38.82562,-9.46961,Praia das Maçãs,pt
Praia de Monte Gordo,37.17765,-7.45493,Monte Gordo,pt
Praia do CDS,38.64624,-9.24251,Costa da Caparica,pt
Praia do Norte,39.6093,-9.08331,Nazaré,pt
Praia dos Ingleses,41.152134,-8.678315,Porto,pt
Praia Grande,38.81517,-9.47659,Mira Serra,pt
Prainha,39.37219,-9.33848,Baleal,pt
Rabo de Peixe,37.81426,-25.58743,Rabo de Peixe,pt
Reef,38.98248,-9.42194,Ericeira,pt
Ria Formosa,37.01357,-8.00534,Almancil,pt
Ribeira d'Ilhas,38.98775,-9.41901,Mafra,pt
Ribeira das Janelas,32.851348,-17.149897,Ribeira da Janela,pt
Ribeira Quente,37.731722,-25.304438,Fogo,pt
Sagres,37.00549,-8.94011,Vila do Bispo,pt
Salgueiros,41.11289,-8.66332,Madalena,pt
